Style,Full
Append Mode,1
Fill Mode,1
Capacity,100000
Count,10931
Base Time Seconds,1617724109
Base Time Fractional,.576746324
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds,Channel,Extra Values,Extra Unit,Extra Range Digits
40,0.000742272032379,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.615746506,,n/a,n/a,n/a
41,0.000732967368811,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.616746501,,n/a,n/a,n/a
42,0.0007298157892154,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.617746516,,n/a,n/a,n/a
43,0.0007257637583067,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.618746511,,n/a,n/a,n/a
44,0.0007574296294818,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.619746526,,n/a,n/a,n/a
45,0.0007902961024076,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.620746521,,n/a,n/a,n/a
46,0.0008335177654333,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.621746536,,n/a,n/a,n/a
47,0.0008585803269795,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.622746530,,n/a,n/a,n/a
48,0.0008702861940489,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.623746545,,n/a,n/a,n/a
49,0.0008997009369414,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.624746540,,n/a,n/a,n/a
50,0.0009124573305428,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.625746555,,n/a,n/a,n/a
51,0.0009226624454238,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.626746550,,n/a,n/a,n/a
52,0.0009277650028644,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.627746565,,n/a,n/a,n/a
53,0.0009358690646817,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.628746560,,n/a,n/a,n/a
54,0.000913207706637,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.629746555,,n/a,n/a,n/a
55,0.000866534313578,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.630746570,,n/a,n/a,n/a
56,0.0008260140044914,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.631746565,,n/a,n/a,n/a
57,0.0007987003146626,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.632746580,,n/a,n/a,n/a
58,0.000783392642341,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.633746575,,n/a,n/a,n/a
59,0.0007697357974266,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.634746589,,n/a,n/a,n/a
60,0.0007428723332544,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.635746584,,n/a,n/a,n/a
61,0.0007371694749385,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.636746599,,n/a,n/a,n/a
62,0.0007304160900907,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.637746594,,n/a,n/a,n/a
63,0.0007221619530546,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.638746609,,n/a,n/a,n/a
64,0.0007472245146007,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.639746604,,n/a,n/a,n/a
65,0.0007929974563467,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.640746619,,n/a,n/a,n/a
66,0.0008359189689347,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.641746614,,n/a,n/a,n/a
67,0.0008594807782925,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.642746629,,n/a,n/a,n/a
68,0.0008714867957997,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.643746624,,n/a,n/a,n/a
69,0.0008951986803763,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.644746639,,n/a,n/a,n/a
70,0.0009138080075123,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.645746634,,n/a,n/a,n/a
71,0.0009297159807093,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.646746649,,n/a,n/a,n/a
72,0.000934668462931,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.647746643,,n/a,n/a,n/a
73,0.0009366194407759,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.648746638,,n/a,n/a,n/a
74,0.0009177099632022,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.649746653,,n/a,n/a,n/a
75,0.0008755388267083,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.650746648,,n/a,n/a,n/a
76,0.0008252636283972,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.651746663,,n/a,n/a,n/a
77,0.0007997508411945,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.652746658,,n/a,n/a,n/a
78,0.0007851935449671,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.653746673,,n/a,n/a,n/a
79,0.0007598308329832,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.654746668,,n/a,n/a,n/a
80,0.0007533775985731,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.655746683,,n/a,n/a,n/a
